REPORT_NO,CONTRIB_TYPE,CONTRIB_CODE,PERSON_ID,VEHICLE_ID
MCP1064002Z,Person,07,303b9977-4712-4c22-a9ed-f3172f13acab,
MCP2942000N,Person,13,bb66dd25-b147-4710-ba80-01f084961e24,
DA3660000C,Person,00,b8280d35-d50b-43fb-848f-0965707744b7,
MSP58320033,Person,00,5e43a611-d55b-4b59-ad90-5b6d45b79688,
AC20350006,Person,70.88,38091cb9-2938-415c-94d8-d14282f0bcf7,
MSP58320033,Person,60.88,53990133-b0b6-470f-af48-e211fbdaf52b,
MSP58320033,Person,21,53990133-b0b6-470f-af48-e211fbdaf52b,
MSP58320033,Person,09,53990133-b0b6-470f-af48-e211fbdaf52b,
MSP58320033,Person,22,53990133-b0b6-470f-af48-e211fbdaf52b,
MCP24730004,Person,09,d0dbe8a8-e9cc-4f46-8775-250ce6381a62,
MCP24730004,Person,07,d0dbe8a8-e9cc-4f46-8775-250ce6381a62,
MCP2770000N,Person,00,366eae2d-4f14-44d2-8a7f-0326d0ac00ae,
MSP4912007D,Person,22,7a2e341c-32b9-440d-bc7d-689a484598f4,
MSP4912007D,Person,07,7a2e341c-32b9-440d-bc7d-689a484598f4,
MSP4912007D,Person,21,7a2e341c-32b9-440d-bc7d-689a484598f4,
MCP2942000N,Person,00,4dc66bef-05f0-417e-939a-4c5821ca944d,
ZU76550003,Person,06,d340aefc-4d94-402a-a8f4-eef7f5f0b449,
MSP6489001Z,Person,74.88,f9bcf5bc-452e-4235-9452-a81c0bde8f44,
MSP6162002W,Person,07,c8aa59f1-5a48-4bae-8fa0-9c74d89a5d50,
MSP6162002W,Person,11,c8aa59f1-5a48-4bae-8fa0-9c74d89a5d50,
ZU76550003,Person,07,d340aefc-4d94-402a-a8f4-eef7f5f0b449,
MCP28510015,Person,00,f978aad8-b104-4465-8ec1-4ec6e2b5642d,
MCP28510015,Person,07,1954c4c3-308d-4474-873a-6a21029189c1,
DE3175000Q,Person,00,d607e06c-a38a-4e59-838b-5166e3d62c1d,
ADJ245000K,Person,00,97ce47c5-9f83-4362-a0fa-cfe4a5cfde66,
MSP6165004Y,Person,11,8a8495e4-2ca7-42b0-a6a6-fe465519c33a,
MCP2493000L,Person,00,a84fd803-efcd-46d5-819f-50eb7495e8e4,
MSP4925001M,Person,22,6921a9b1-cf64-4c5e-9c23-bb40b224b62a,
MSP4925001M,Person,02,6921a9b1-cf64-4c5e-9c23-bb40b224b62a,
MSP4925001M,Person,07,6921a9b1-cf64-4c5e-9c23-bb40b224b62a,
MSP4925001M,Person,00,7432d4e7-e908-49a7-bd1e-763529114ce5,
AC19740010,Person,00,648bfe32-bc07-4e39-b063-8001588ae9de,
MCP2031000K,Person,11,ba9c8635-e34c-4df7-b18f-1c13d8883f28,
MCP2031000K,Person,21,ba9c8635-e34c-4df7-b18f-1c13d8883f28,
MCP2031000K,Person,07,ba9c8635-e34c-4df7-b18f-1c13d8883f28,
MSP60680047,Person,22,19b6a8c1-c194-4430-94e7-95b2f250e7d3,
MSP60680047,Person,07,19b6a8c1-c194-4430-94e7-95b2f250e7d3,
MSP60680047,Person,21,19b6a8c1-c194-4430-94e7-95b2f250e7d3,
MSP60680047,Person,00,ce20f01a-d4f4-4832-8044-1b7d8e5e7e0a,
ADI6450010,Person,00,e86f01fe-d614-432a-811e-34e802d53c0b,
CB5842000G,Person,00,ef55a520-b327-4c90-b01b-e4735597c345,
MSP6293001X,Person,60.88,a3eeec23-07f0-4233-9ccd-cbe20d4cee09,
MSP6293001X,Person,11,a3eeec23-07f0-4233-9ccd-cbe20d4cee09,
ZU7848000L,Person,15,2060d2f2-9a9b-4a1f-8906-a87ac2022f91,
ZU7848000L,Person,08,2060d2f2-9a9b-4a1f-8906-a87ac2022f91,
MSP5800003G,Person,00,86fbc449-f981-4f8e-a78e-6f5834c1f60b,
AC1313000V,Person,60.88,27d412c2-2bd5-4b77-ba6e-1540dd38cdd0,
AC1313000V,Person,22,27d412c2-2bd5-4b77-ba6e-1540dd38cdd0,
AC1313000V,Person,21,27d412c2-2bd5-4b77-ba6e-1540dd38cdd0,
AC1313000V,Person,02,27d412c2-2bd5-4b77-ba6e-1540dd38cdd0,
AC1313000V,Person,11,27d412c2-2bd5-4b77-ba6e-1540dd38cdd0,
AC1313000V,Person,07,27d412c2-2bd5-4b77-ba6e-1540dd38cdd0,
DA32470002,Person,00,a6ea4e59-fad5-4850-951b-489835d507a7,
MSP5957004Q,Person,07,f06b83cc-5adf-4640-85a3-ed5a20721016,
MSP5957004Q,Person,21,f06b83cc-5adf-4640-85a3-ed5a20721016,
DA34630002,Person,23,1ac3a07c-ed39-4a0d-991e-c3f76eee8c23,
DA34630002,Person,15,1ac3a07c-ed39-4a0d-991e-c3f76eee8c23,
CB47070010,Person,00,9f87d338-8849-495b-bb78-bd4829aa9614,
MSP6498000R,Person,70.88,6db7d178-4d0b-42d7-9c4d-80fd02e33979,
MSP6498000R,Person,00,4c877b59-ab42-4150-a6f9-b83300dd90bb,
AC17790009,Person,75.88,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
AC17790009,Person,40.88,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
AC17790009,Person,13,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
AC17790009,Person,12,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
AC17790009,Person,07,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
AC17790009,Person,39.88,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
AC17790009,Person,21,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
AC17790009,Person,18,409e72c6-0d78-4c9f-a4b4-a827b76a5163,
MSP54670010,Person,00,d31fa046-ad42-43a6-b717-67d1aecdfebb,
MSP6157004K,Person,15,8618d578-2a8a-4d49-a744-4084e1e1e3ef,
MSP6157004K,Person,06,8618d578-2a8a-4d49-a744-4084e1e1e3ef,
AE41240038,Person,00,2ff1e091-8ca7-4b52-973c-82e02adbf4eb,
MCP2847000X,Person,07,f6ae0ddc-bff9-490b-98b6-2c59fe467244,
MCP2847000X,Person,60.88,f6ae0ddc-bff9-490b-98b6-2c59fe467244,
MSP5793001K,Person,07,75d3c989-88bb-4bca-84ec-f3ee50e39eb8,
MSP5793001K,Person,23,75d3c989-88bb-4bca-84ec-f3ee50e39eb8,
