REPORT_NO,CONTRIB_TYPE,CONTRIB_CODE,PERSON_ID,VEHICLE_ID
MCP9381001H,Person,00,fdc1d0e2-80f2-4a35-92df-089fa7c2a183,
MCP9381001H,Person,11,f34a8ef4-0825-454a-98dc-07b2beb049b2,
DA3730000W,Person,15,5695c85e-dc32-44be-85d7-9bde23530ac8,
DA3730000W,Person,06,5695c85e-dc32-44be-85d7-9bde23530ac8,
DA3730000W,Person,05,5695c85e-dc32-44be-85d7-9bde23530ac8,
DA3730000W,Person,00,a53f88b1-f032-4dda-92f6-88fde89f9e60,
DA3730000W,Person,00,29d165f8-3406-481f-b505-478e499eb86e,
DA3730000W,Person,00,5a90c7f1-9988-4614-ad9f-00f61c718a12,
DA3730000W,Person,00,936f7d53-8580-4007-8806-cea6701b4cf6,
DA36890013,Person,00,9182068a-1300-49ae-b394-bf874815e452,
DA36890013,Person,00,c220a9ec-7595-4d7c-8c8b-c4f715b8db7c,
DA36890013,Person,00,e34be811-0d54-4983-90cd-c4ce4630d1d6,
DA36890013,Person,00,b742273d-0ae9-44f4-8b80-2b4a47db7961,
DA36890013,Person,11,19594603-965f-4b26-936e-4c511ad38f69,
AE43790044,Person,00,551352c9-0d47-4069-b07c-72714b4925e9,
AE43790044,Person,00,551352c9-0d47-4069-b07c-72714b4925e9,
AE43790044,Person,60.88,0993a6a9-4d3e-46bb-824d-8cd176830213,
AE43790044,Person,11,0993a6a9-4d3e-46bb-824d-8cd176830213,
AE43790044,Person,60.88,0993a6a9-4d3e-46bb-824d-8cd176830213,
AE43790044,Person,11,0993a6a9-4d3e-46bb-824d-8cd176830213,
AE5362000M,Person,00,d28600ac-27d3-4e9b-81e9-c085cb80dd98,
AE5362000M,Person,07,be5445fb-3539-4298-988c-df4f3a626780,
AE5362000M,Person,24,be5445fb-3539-4298-988c-df4f3a626780,
AE5362000M,Person,11,be5445fb-3539-4298-988c-df4f3a626780,
ZR0309000M,Person,00,39319367-6a02-4ec0-a1db-314226b59a17,
ZR0309000M,Person,07,5c1b7e80-737b-436e-a565-27bed4502cb4,
MSP5833001N,Person,00,527b95d0-6a37-46a7-8d00-559a3abc1269,
DA30200012,Person,00,8907ac79-0986-4d9f-b993-a16cfee3868c,
DA30200012,Person,00,81857685-ed52-41f6-b8ab-fe20cb5edd58,
BK0261000T,Person,11,c6ae3b2e-ce04-45d9-8b91-914ff16ee8f1,
MSP6048005N,Person,00,1c167451-c12c-42a5-ab1f-c6da503bbd1f,
MSP6048005N,Person,00,1e297416-36d4-4b6d-ac80-ce93d685b04e,
MSP6048005N,Person,00,aececa98-1a48-48dc-84bd-270bc47f6638,
MSP6048005N,Person,07,8e86fd13-a8a8-41b8-8b62-9cd9df791bf9,
MSP6048005N,Person,21,8e86fd13-a8a8-41b8-8b62-9cd9df791bf9,
MSP6271003R,Person,00,c6807721-3c88-4383-9737-947c82877602,
MSP6271003R,Person,00,3f3b68d9-ec6e-4a20-99f3-82a0d58ebcf5,
MSP6271003R,Person,22,a77b4646-2ce0-4d8e-97c3-e4d232addd2f,
MSP6271003R,Person,07,a77b4646-2ce0-4d8e-97c3-e4d232addd2f,
AA0107001F,Person,11,67163e15-ea3c-40b3-9264-3d14988d814b,
ADH364001G,Person,70.88,b00b53b0-55f1-49c2-b612-b87dbe43d273,
ADH364001G,Person,17,b00b53b0-55f1-49c2-b612-b87dbe43d273,
AE3438003G,Person,00,7e8a40bb-48a1-4adf-a09f-5056f6e3d331,
AE3438003G,Person,19,9ba4d642-98ff-491f-aacb-d37012a8d5b3,
AE3438003G,Person,22,9ba4d642-98ff-491f-aacb-d37012a8d5b3,
AE4124003Z,Person,00,ba87c9e3-ac54-4031-942d-2cbf06f83d33,
AE4124003Z,Person,00,e0e1c712-7941-494c-9156-9774e4396bf9,
MCP28000029,Person,00,ae4d2e0e-ccd2-44e0-b990-6958143b09ce,
MCP28000029,Person,00,91e0c40d-b36a-4d78-ad27-95004209352f,
MSP6501000N,Person,60.88,cc383b41-e259-4730-8a2c-a8b66cf2e8b2,
MSP6501000N,Person,14,cc383b41-e259-4730-8a2c-a8b66cf2e8b2,
MSP6501000N,Person,07,cc383b41-e259-4730-8a2c-a8b66cf2e8b2,
MSP6501000N,Person,05,cc383b41-e259-4730-8a2c-a8b66cf2e8b2,
MSP6501000N,Person,04,cc383b41-e259-4730-8a2c-a8b66cf2e8b2,
MSP6501000N,Person,03,cc383b41-e259-4730-8a2c-a8b66cf2e8b2,
MSP6501000N,Person,01,cc383b41-e259-4730-8a2c-a8b66cf2e8b2,
MSP4641005K,Person,39.88,19fc7ffe-c9b6-484c-b6e0-e81dd2b10c84,
MSP4641005K,Person,24,19fc7ffe-c9b6-484c-b6e0-e81dd2b10c84,
MSP4641005K,Person,14,19fc7ffe-c9b6-484c-b6e0-e81dd2b10c84,
MSP4641005K,Person,13,19fc7ffe-c9b6-484c-b6e0-e81dd2b10c84,
MSP4641005K,Person,15,19fc7ffe-c9b6-484c-b6e0-e81dd2b10c84,
MSP4641005K,Person,09,19fc7ffe-c9b6-484c-b6e0-e81dd2b10c84,
MSP4641005K,Person,07,19fc7ffe-c9b6-484c-b6e0-e81dd2b10c84,
ZK01980009,Person,00,db6a2602-2fc2-48db-9ab4-4d83c7af5c8a,
ZK01980009,Person,00,460aa242-64b5-4677-bb00-a0d879a845dc,
MSP6036006M,Person,00,730abb85-91a3-4b23-a5b0-5f5a37ed09ab,
MSP6036006M,Person,24,bcdcc377-9d0a-4f6a-a78b-d101a83c4621,
CB5848000X,Person,00,523a309f-c55f-4f47-ae0b-cb67f061a5fc,
AE4880009J,Person,08,cbe95a5a-56b9-4bb7-9c0b-292ddfb30d85,
AE4880009J,Person,28,cbe95a5a-56b9-4bb7-9c0b-292ddfb30d85,
DA3745000G,Person,00,82cdfcdd-0acc-4b1d-8074-d805625e124e,
DA3745000G,Person,00,a5fd0fc8-cebc-4749-b145-eaf143b22a84,
DA3745000G,Person,11,45de8ce3-bfdb-450f-9d10-b1c334343b78,
MSP59660032,Person,15,f8538dcb-3922-45e9-8142-a2f596ff7495,
ZL09910006,Person,15,f245e363-56a3-447b-abf0-1b318c175a66,
ZL09910006,Person,02,f245e363-56a3-447b-abf0-1b318c175a66,
MSP6503000W,Person,60.88,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,39.88,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,23,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,03,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,02,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,01,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,15,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,09,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,07,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
MSP6503000W,Person,04,b4ad3b91-026a-4d82-b3d7-11cc7feaf62f,
GS0432000B,Person,00,002aa288-fa4c-4ca0-804b-d38a12150a0c,
GS0432000B,Person,13,32730fb6-37b4-4067-bf62-bb96021ac36e,
GS0432000B,Person,07,32730fb6-37b4-4067-bf62-bb96021ac36e,
MSP58390038,Person,00,b5c86d0c-5c7f-44c8-8ade-d3122ee0236f,
MSP58390038,Person,00,2191ea7d-bb2c-4e87-9e9c-c6163078ce22,
MSP58390038,Person,00,9ae0e930-e176-470e-9e82-6d1f4786325b,
MSP58390038,Person,07,4262650a-3df5-404a-8623-d31bbcaf621f,
MSP58390038,Person,21,4262650a-3df5-404a-8623-d31bbcaf621f,
MSP58390038,Person,22,4262650a-3df5-404a-8623-d31bbcaf621f,
MSP58390038,Person,60.88,4262650a-3df5-404a-8623-d31bbcaf621f,
MSP58390038,Person,73.88,4262650a-3df5-404a-8623-d31bbcaf621f,
MSP58390038,Person,74.88,4262650a-3df5-404a-8623-d31bbcaf621f,
MSP58390039,Person,00,a2fc096c-b83f-4603-bfb2-6185a332d33c,
MSP58390039,Person,00,098674fc-5b77-4914-93dc-949b393f1c3f,
MSP58390039,Person,07,496e6c02-40f8-4e37-891b-d0bd7263ae80,
MSP58390039,Person,09,496e6c02-40f8-4e37-891b-d0bd7263ae80,
MSP58390039,Person,21,496e6c02-40f8-4e37-891b-d0bd7263ae80,
MSP58390039,Person,22,496e6c02-40f8-4e37-891b-d0bd7263ae80,
MSP58390039,Person,60.88,496e6c02-40f8-4e37-891b-d0bd7263ae80,
MSP58390039,Person,73.88,496e6c02-40f8-4e37-891b-d0bd7263ae80,
MSP58390039,Person,74.88,496e6c02-40f8-4e37-891b-d0bd7263ae80,
CB58830007,Person,00,7015d502-c2d8-429b-a06d-1a2e67d06ee4,
CB58830007,Person,22,11fe768f-0bb2-4884-8df6-8ff74e6323ec,
CB58830007,Person,21,11fe768f-0bb2-4884-8df6-8ff74e6323ec,
AA0085000L,Person,00,a9c19752-8c9b-48f5-a7a8-5fb87f9431e6,
AA0085000L,Person,00,b2b47777-fda8-4d22-a070-04525a9aa9bc,
MSP62860033,Person,00,f6d1b0c7-e9d2-4b97-8ffb-56bf4fd71131,
MSP62860033,Person,00,43e45168-2062-4559-a0f4-27015aea1865,
AE39050031,Person,00,f7d804c3-df79-4de4-ab5d-936be7db9fed,
AE39050031,Person,22,3a99777b-3d8e-49ec-9930-bd92e8b25985,
AE4880009C,Person,00,e1859528-39a1-4721-acab-7ceb24dc650b,
AE4880009C,Person,15,988edeb6-f8ab-4a27-9ba8-fe490013a250,
AE4880009C,Person,06,988edeb6-f8ab-4a27-9ba8-fe490013a250,
CBPD0068000R,Person,00,08f43dcc-deca-47e5-bbe6-2c0914a03ef6,
CBPD0068000R,Person,60.88,fba95dc2-c120-4b2e-890b-d15bf37c51dd,
CBPD0068000R,Person,22,fba95dc2-c120-4b2e-890b-d15bf37c51dd,
CBPD0068000R,Person,07,fba95dc2-c120-4b2e-890b-d15bf37c51dd,
AE3905002Z,Person,00,35ea13be-1572-4439-bb84-ed60273bd983,
AE3905002Z,Person,22,d3e19b66-d7eb-47f7-b83c-9bf1168eeb8d,
AE4253001Q,Person,00,3ed77fe2-3c99-48ad-a593-5bb2ec511d39,
AE4253001Q,Person,00,fe5fd91c-84ee-40e3-9126-aad50090efdd,
AE4253001Q,Person,11,c17865d6-237f-43c6-8e00-a21133fd1974,
ZR0132000H,Person,00,95f9ef72-860f-4ea2-ad59-72ae38737ec4,
ZR0132000H,Person,60.88,16d8f1e5-4c7f-4e43-b321-40b398bb4552,
ZR0132000H,Person,07,16d8f1e5-4c7f-4e43-b321-40b398bb4552,
ADH150000T,Person,00,c074eda5-08a2-4c5e-8735-23150883ac6f,
ADH150000T,Person,26,3906818e-8d84-4846-b0d2-e15aecb29720,
MSP6156002G,Person,00,5901c4c4-3ffc-4b8a-82e1-c04def7cb407,
MSP6156002G,Person,00,e6314d5e-79ec-46ef-a055-21c6dac8e75e,
MSP6156002G,Person,60.88,9bc26060-6a8b-4906-9b88-4b42cd8bc871,
MSP6156002G,Person,21,9bc26060-6a8b-4906-9b88-4b42cd8bc871,
MSP6156002G,Person,22,9bc26060-6a8b-4906-9b88-4b42cd8bc871,
MSP6156002G,Person,07,9bc26060-6a8b-4906-9b88-4b42cd8bc871,
DA29550009,Person,00,e60a2a72-a070-4452-80fe-bef9daf9f54b,
DA29550009,Person,07,94d449b4-8eff-48a3-89ca-d7013871167b,
DA12680002,Person,07,6d6df502-30ba-4fef-95a1-24cfa338d58d,
DA12680002,Person,00,0a67e3c9-3390-470f-ae66-923650d6d9c0,
AE48800099,Person,70.88,ca1fc9dd-81c1-425a-8914-72a3ab943eb7,
MSP6463001B,Person,60.88,bb55f68c-a494-4adc-93c9-8efc036d8221,
MSP6299003R,Person,00,ae4947a4-9119-4095-9939-771292d2b340,
MSP6299003R,Person,07,27a76a57-f25f-4388-8afb-a3ddb7f4baea,
MSP6299003R,Person,60.88,27a76a57-f25f-4388-8afb-a3ddb7f4baea,
MSP6299003R,Person,21,27a76a57-f25f-4388-8afb-a3ddb7f4baea,
MSP6299003R,Person,22,27a76a57-f25f-4388-8afb-a3ddb7f4baea,
AE48800098,Person,11,5fb24881-0dad-4a2a-b165-54e578b2728a,
ZR0309000L,Person,00,9f72524d-e30e-424e-af66-d813fa8e923c,
ZR0309000L,Person,07,c5858b0b-271b-4ff2-8e89-e1eeef76eb1e,
AE4880009G,Person,70.88,7ce9f61e-7963-4bd1-9f20-7a88f5a11893,
MSP1219001F,Person,00,3e80cd3c-b6f1-46e0-8e08-1cd8013f5920,
MSP1219001F,Person,00,01421498-79e3-4526-b5b3-7841005d7882,
MSP1219001F,Person,60.88,e649fe4f-5dc4-4dd4-8ef7-44ba97cbeb00,
MSP1219001F,Person,07,e649fe4f-5dc4-4dd4-8ef7-44ba97cbeb00,
ZF04280014,Person,74.88,4dae9349-919d-493e-8879-83cfbe071554,
AE47270033,Person,00,d2fbd715-d6c4-41eb-9f4e-4a9f13d5630b,
AE47270033,Person,24,f7e14f7d-0b06-45ef-85e2-4c6f955cf250,
AE47270033,Person,15,f7e14f7d-0b06-45ef-85e2-4c6f955cf250,
