REPORT_NO,CONTRIB_TYPE,CONTRIB_CODE,PERSON_ID,VEHICLE_ID
MSP6474000C,Person,00,891a2f91-7db7-4695-8584-53c35c9d3e50,
MSP6474000C,Person,00,ef2e3d1e-b338-4a25-b22b-cb0aed7ee974,
ZR0268001D,Person,11,cf5b95bd-efe5-4f59-8c72-a5667fd60cc5,
ZR0268001D,Person,60.88,cf5b95bd-efe5-4f59-8c72-a5667fd60cc5,
ADJ4930021,Person,00,913d7ee9-9e5e-4d98-8ab6-c5685b9c51a9,
ADJ4930021,Person,00,e3798f63-1152-4be4-b65a-43a1f4fe5839,
ADI672000B,Person,00,93c7df82-3403-45ad-aeef-2def5865d3ba,
AS0331000F,Person,00,4e18691d-f623-45dc-9023-acf3d30e3fb0,
MSP28460019,Person,00,c9f364cb-e36f-4446-a1b9-02d6a3c3c4ca,
MSP28460019,Person,00,ad483c6e-771b-45db-b9a2-40662de5e83f,
ADJ563000X,Person,11,06cecc7b-afa1-47d9-becd-4b042be94872,
ADJ563000X,Person,13,06cecc7b-afa1-47d9-becd-4b042be94872,
ADJ563000X,Person,00,33b5c798-9c89-4023-9c57-576385744ef9,
MCP2879000X,Person,00,880c4809-58b9-4115-97d1-98f34fa1bd64,
MCP2879000X,Person,00,f6b86574-9f1e-4641-b084-b0535603c0ce,
MCP2879000X,Person,00,eb4906fb-9024-4659-a08f-a47b95fa60ae,
DA3616000H,Person,00,a9dc53c2-b0c7-4b58-bc92-f120bb54dbfb,
DA3616000H,Person,00,4a4b4f5f-e356-45e0-9443-83f76cc01a70,
MSP6489003B,Person,02,86e1a7d4-c74f-4262-adde-17707c8f1893,
MSP6489003B,Person,07,86e1a7d4-c74f-4262-adde-17707c8f1893,
MSP6489003B,Person,21,86e1a7d4-c74f-4262-adde-17707c8f1893,
MSP6489003B,Person,39.88,86e1a7d4-c74f-4262-adde-17707c8f1893,
MSP6489003B,Person,60.88,86e1a7d4-c74f-4262-adde-17707c8f1893,
MSP6489003B,Person,75.88,86e1a7d4-c74f-4262-adde-17707c8f1893,
MDTA08880004,Person,00,f957e471-3b07-4ebb-982d-cb91f1829415,
MSP6095004B,Person,00,3cf71e2a-7ed9-4539-b168-c1efad0e0dc9,
AE57230010,Person,22,5727796e-53c0-4dc9-8deb-04726dc15cfa,
AE57230010,Person,07,5727796e-53c0-4dc9-8deb-04726dc15cfa,
AE57230010,Person,00,de716310-a92a-4a59-be2c-114d1ccab2b3,
AE52730016,Person,00,7754892e-f4cf-4886-a88e-d39c5aff5c9d,
AE52730016,Person,00,07c578d8-a323-4981-8443-4243d4582db1,
AC1887000Q,Person,02,717cfa6e-86fa-4003-be4f-2560af2afae4,
AC1887000Q,Person,09,717cfa6e-86fa-4003-be4f-2560af2afae4,
AC1887000Q,Person,24,717cfa6e-86fa-4003-be4f-2560af2afae4,
AC1887000Q,Person,00,b67966f4-7b56-4792-a44d-f14336f98e51,
DE11090017,Person,07,79a396be-422c-4338-9c37-fc092134abcf,
DE11090017,Person,24,79a396be-422c-4338-9c37-fc092134abcf,
DE11090017,Person,11,79a396be-422c-4338-9c37-fc092134abcf,
DE11090017,Person,00,5f0fa453-f9e4-475a-bf5c-bcd4f7e9fbc1,
AE29720009,Person,00,079df99b-b4b3-4202-b621-d1b46f86d645,
EJ7856000Y,Person,00,e7823a9f-917e-45df-9b25-03fbd9f7d066,
EJ7856000Y,Person,00,bd5e9f52-c420-4bab-b22a-17ed7507d9b8,
MSP603300CB,Person,15,f71fac0f-feb8-428a-93a8-5f2d5ae7d423,
MSP603300CB,Person,05,f71fac0f-feb8-428a-93a8-5f2d5ae7d423,
MCP2971000T,Person,22,4390a080-dd9b-46a4-8bf9-a01224982228,
MCP2971000T,Person,60.88,4390a080-dd9b-46a4-8bf9-a01224982228,
MCP2971000T,Person,00,109e3af7-e4dd-40bd-b3ed-b3064e5e2ae3,
MCP2971000T,Person,00,058d4e75-5bc2-42b6-a294-be19d7538261,
ADH789000W,Person,07,0751a6cf-9263-41ad-81dd-d034c850e4ef,
ADH789000W,Person,40.88,0751a6cf-9263-41ad-81dd-d034c850e4ef,
CB5644000D,Person,00,ba49fae5-fd54-48cc-afd4-bb169bcc6d77,
CB5644000D,Person,00,ef7e4227-5cc0-4637-8baf-e78ea270252e,
CB5644000D,Person,00,826ec5a5-144a-413b-83dd-04c367b1a3a2,
MSP6474000M,Person,00,6216e6bc-c6ba-4c4d-9aa4-6aaf579cb6ec,
AE50130006,Person,07,582ad882-106f-4754-964f-f1311546f10b,
EP01730002,Person,05,863d75bf-854a-4694-9346-c41aaced15d7,
ZH03280004,Person,07,303b44fd-ac6d-4604-9402-4865105f992e,
AA01240005,Person,07,71744803-9317-4819-b050-2dae97e7ca38,
