REPORT_NO,CONTRIB_TYPE,CONTRIB_CODE,PERSON_ID,VEHICLE_ID
MSP59710025,Person,09,aae53963-ccf6-44a9-ad7e-f9ae344de8a1,
DA36830003,Person,00,49baadf5-ae59-42d9-973b-e6b90a70f397,
DA36830003,Person,00,7ced4e81-6e48-4d6a-b5c0-fe59ba264b39,
MCP24980009,Person,70.88,ef1741f1-f0e5-4c2b-99f3-93fb8c233ea9,
MSP6489000C,Person,00,2112abaf-4fbc-4c97-b851-cd137e16830d,
MSP6489000C,Person,00,b360569d-8ea7-4c78-9af2-c4005c5943bf,
ZR0290000T,Person,00,fdac99bf-0ab9-40e2-9e60-b4b07c99ba55,
AC1800000F,Person,22,55a7e989-a11a-4399-99ff-8d12976ee87c,
AC1800000F,Person,21,55a7e989-a11a-4399-99ff-8d12976ee87c,
MSP5968001T,Person,00,a5939aa0-ed7e-4202-9a13-61aa3542d96f,
AE4745000B,Person,00,201f581c-a09a-4db7-89bd-5179398c9ee3,
MSP5968001T,Person,07,6ede7004-34ff-436e-84e3-42357cbaab83,
MSP5968001T,Person,22,6ede7004-34ff-436e-84e3-42357cbaab83,
MSP5968001T,Person,21,6ede7004-34ff-436e-84e3-42357cbaab83,
ADG4380004,Person,00,293a6fff-7522-4020-a96d-ac4421862c44,
DA37560006,Person,00,1bd8aacd-db60-4327-a629-f30d634a3dee,
ADJ108000D,Person,00,12562b22-1ee0-4f02-b358-98c3b925e39b,
ADI5190006,Person,00,eec4a2b0-1715-44fb-b43d-bc20db22cea9,
DB0048000C,Person,00,569fd2c6-d0e1-4312-b57e-f3508591a3a3,
MCP2639000K,Person,02,306983f9-4c73-43e2-b967-95359eacafa2,
MCP2639000K,Person,07,306983f9-4c73-43e2-b967-95359eacafa2,
MCP2639000K,Person,00,cec290fb-c800-4445-b47e-a0bddef09930,
ZJ04520008,Person,24,61e64bf7-c8e9-4daf-b341-2e007ec16a20,
ZJ04520008,Person,07,61e64bf7-c8e9-4daf-b341-2e007ec16a20,
ZJ04520008,Person,11,61e64bf7-c8e9-4daf-b341-2e007ec16a20,
MSP63040033,Person,60.88,d7669321-f7a9-4ade-9058-1ed3827b7ee4,
MSP63040033,Person,13,d7669321-f7a9-4ade-9058-1ed3827b7ee4,
MSP63040033,Person,07,d7669321-f7a9-4ade-9058-1ed3827b7ee4,
MSP63040033,Person,00,6ff45c3d-abe3-4f8b-a5e9-19d7415c3087,
DM8439000D,Person,23,37ab81da-44ad-4f1f-91c3-c608daf80ae5,
DM8439000D,Person,07,37ab81da-44ad-4f1f-91c3-c608daf80ae5,
DM8439000D,Person,60.88,37ab81da-44ad-4f1f-91c3-c608daf80ae5,
ADH5520003,Person,00,98aab0cf-ea55-4210-8e39-84c7983b7237,
MSP61870017,Person,74.88,4cb4e3fb-c2c1-41c7-985b-ac91471d6318,
MSP0860000R,Person,60.88,0cb5e008-ad4f-4da8-9cf6-c54f29ea9fee,
MSP0860000R,Person,06,0cb5e008-ad4f-4da8-9cf6-c54f29ea9fee,
AE5419002P,Person,09,f47c7d7c-2056-4366-94f7-f386054595ee,
AE5419002P,Person,07,f47c7d7c-2056-4366-94f7-f386054595ee,
AE3806000T,Person,00,0934e320-87f0-42e4-8414-2f7c179a1f8b,
AE3806000T,Person,00,822366aa-808d-4f67-ae30-5c1b3ad87422,
AE5587000B,Person,07,f141b361-3a06-4ad3-99db-9c4aa9477e85,
AE5587000B,Person,21,f141b361-3a06-4ad3-99db-9c4aa9477e85,
MSP6366001T,Person,00,82bdacea-f394-4904-839a-f7b69a07ab0c,
MSP6366001T,Person,00,56825130-1b63-4aca-b894-99cbcc4d746f,
MSP4875002D,Person,07,9784c6fb-7d9d-4f6c-8b2e-9a937005b966,
MSP4875002D,Person,22,9784c6fb-7d9d-4f6c-8b2e-9a937005b966,
MSP4875002D,Person,21,9784c6fb-7d9d-4f6c-8b2e-9a937005b966,
AE41340013,Person,11,7cb2c4e1-6465-443e-9331-1230ec502520,
AE41340013,Person,00,11d12a29-6fac-4f98-916d-d2e0138a2f16,
AC2026000P,Person,00,b6764366-0bd8-48ba-9dfd-a305ce660178,
AC2026000P,Person,05,bf9cb485-462d-4ac7-8a04-9bdbae2f8bad,
AE5380000M,Person,21,c6ba0038-297b-40a7-9668-66d4f757a7d0,
CB5256000G,Person,24,5c75e6a7-6bb1-4634-9095-3f966d759dc6,
CB5256000G,Person,07,5c75e6a7-6bb1-4634-9095-3f966d759dc6,
AE3788000R,Person,21,0f21352e-0b86-4bab-8f68-6f3a7cd4aa75,
MCP2896000L,Person,07,75b27701-c7b2-4258-806f-83ef692060e1,
CB56450009,Person,11,b53d66db-9ce4-4b6d-a411-3998e07b0578,
CB56450009,Person,23,b53d66db-9ce4-4b6d-a411-3998e07b0578,
CB56450009,Person,00,fa20abdd-231c-436a-9d46-68d5b163e754,
DA38790003,Person,07,145243b3-c7f2-43dd-90a2-fae6c5661744,
DA38790003,Person,22,145243b3-c7f2-43dd-90a2-fae6c5661744,
DA38790003,Person,00,c346b061-5334-478f-bb82-0614f5a06680,
AE5363000B,Person,22,737e84cc-a57f-4b75-afc2-cddea75857e8,
AE5363000B,Person,00,78acc1c4-29a3-485f-9b88-8689c64f9aba,
MSP58470032,Person,21,483f085e-6831-4afe-a073-2a84bf3dc768,
ADI2050001,Person,17,dcbb60b0-a056-495a-82c6-a745ff6e0eb2,
ADI2050001,Person,13,dcbb60b0-a056-495a-82c6-a745ff6e0eb2,
AC1048000W,Person,24,11fce3da-f099-4824-85ec-550267358634,
AC1048000W,Person,09,11fce3da-f099-4824-85ec-550267358634,
